############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{FR} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-167342      152.13007   46.05155    11.35       2.32      0.15      0.16      0.19      1.12      11.83  
1-613211      167.86185   22.97076    11.26       2.80      -0.03     0.19      0.47      0.76      11.60  
1-279329      171.24463   47.14351    11.16       2.45      0.10      0.54      0.58      1.04      11.57  
1-373011      222.03492   31.71035    10.72       2.52      0.44      0.47      0.37      0.72      11.01  
1-613949      169.82370   47.64836    11.14       2.27      0.12      0.08      0.38      1.03      11.34  
1-378770      119.12000   50.28787    11.53       1.99      0.36      0.09      0.23      1.40      12.21  
1-561016      258.38612   33.15304    11.37       2.63      0.09      0.11      0.21      0.97      11.90  
1-394404      157.18300   37.09180    11.02       2.44      0.13      0.41      0.63      0.92      11.36  
1-246027      219.39661   51.58313    11.18       2.09      0.14      0.07      0.14      1.05      11.24  
1-177145      254.77189   34.33648    11.34       2.38      0.07      0.09      0.20      1.09      11.83  
1-25676       261.84125   59.64380    10.83       2.53      0.04      0.38      0.35      0.74      11.03  
1-254546      155.27468   44.37770    11.15       2.52      0.21      0.15      0.25      0.88      11.38  
1-228997       57.24299   -0.52112    10.79       2.37      0.16      0.48      0.66      0.89      11.24  
1-166691      146.04735   42.90004    11.17       2.22      0.10      0.16      0.20      1.11      11.83  
1-258213      184.54379   44.40046    11.15       2.58      0.14      0.29      0.48      0.93      11.45  
1-245940      220.12682   50.99865    11.41       2.01      0.16      0.44      0.38      1.41      12.21  
1-373327      222.97627   31.28014    11.19       2.53      0.03      0.19      0.20      0.93      11.67  
1-38802        56.13165   0.00665     10.93       2.06      0.25      0.33      0.60      1.25      11.88  
1-55552       135.81821   56.62538    11.06       2.30      0.07      0.22      0.38      1.00      11.61  
1-576294      224.41492   53.00634    11.46       2.27      0.06      0.24      0.32      1.23      11.92  
1-94720       250.86361   43.35318    10.61       2.26      -0.00     0.10      0.24      0.82      10.52  
